sql_prompt,sql
determine total claim paid per month past 12 month,"SELECT DATEPART(YEAR, ClaimDate) as Year, DATEPART(MONTH, ClaimDate) as Month, SUM(ClaimAmount) as TotalClaimsPaid FROM Claim WHERE ClaimDate >= DATEADD(YEAR, -1, GETDATE()) GROUP BY DATEPART(YEAR, ClaimDate), DATEPART(MONTH, ClaimDate) ORDER BY Year, Month;"
many sustainable tourism activity available japan,SELECT COUNT(*) FROM activities WHERE country = 'Japan' AND category = 'Sustainable Tourism';
average number project per organization working social good finance industry,SELECT AVG(projects/organizations) FROM social_good WHERE industry = 'finance';
total number try scored black rugby union team rugby championship,SELECT SUM(tries) FROM games WHERE team_id = (SELECT team_id FROM teams WHERE team_name = 'All Blacks') AND league = 'Rugby Championship';
maximum number cultural heritage site single region spain,"SELECT MAX(site_count) FROM (SELECT region, COUNT(*) AS site_count FROM cultural_sites WHERE country = 'Spain' GROUP BY region) AS subquery;"
name athlete gold medal athletics,SELECT athlete_name FROM athletics_athletes WHERE gold = (SELECT MAX(gold) FROM athletics_athletes) AND gold > 0;
maximum number virtual tour offered per hotel rome,SELECT MAX(t.virtual) FROM tours t JOIN hotels h ON t.hotel_id = h.id WHERE h.city = 'Rome';
count number tuberculosis case new york region,SELECT COUNT(*) FROM Patients WHERE Disease = 'Tuberculosis' AND Region = 'New York';
sum investment virtual tourism globally,SELECT SUM(investment_amount) FROM tourism_investments WHERE investment_type = 'Virtual Tourism';
minimum depth ocean floor mariana trench,SELECT MIN(depth) FROM ocean_floor_depth WHERE location = 'Mariana Trench';
agricultural innovation initiative implemented specific year budget agriculturalinnovation table,"SELECT initiative_name, budget FROM agricultural_innovation WHERE year = 2019;"
show name job title employee company 10 year hr schema employeedetails employeehires table,"SELECT e.first_name, e.last_name, j.job_title FROM hr.employee_details e INNER JOIN hr.employee_hires h ON e.employee_id = h.employee_id INNER JOIN hr.jobs j ON h.job_id = j.job_id WHERE DATEDIFF(CURDATE(), h.hire_date) > 3650;"
average claim amount policyholder new york,SELECT AVG(claim_amount) FROM claims JOIN policyholders ON claims.policyholder_id = policyholders.id WHERE policyholders.state = 'NY';
minimum maximum number visitor per month virtual tour spain,"SELECT name, MIN(visitors) as min_visitors, MAX(visitors) as max_visitors FROM virtual_tours_spain WHERE name LIKE '%Spain%' GROUP BY name;"
many sustainable tourism initiative launched oceania last 3 year,SELECT COUNT(*) as total_initiatives FROM sustainability_initiatives WHERE location LIKE '%Oceania%' AND year >= (SELECT YEAR(CURDATE()) - 3);
security policy violated user marketing department last quarter according security audit database,"SELECT policy FROM SecurityAudit WHERE user IN (SELECT user FROM SecurityAudit WHERE department = 'Marketing') AND timestamp >= DATE_SUB(NOW(), INTERVAL 3 MONTH) GROUP BY policy ORDER BY SUM(violation_count) DESC;"
list marine specie southern ocean,SELECT species_name FROM marine_species WHERE region = 'Southern Ocean';
total budget allocated community development initiative africa asia ruraldevelopment database,"SELECT SUM(budget) as total_budget FROM community_development WHERE country IN ('Africa', 'Asia');"
list astronaut never space mission,SELECT Name FROM Astronauts WHERE FirstMissionDate IS NULL;
unique technology accessibility concern people visual impairment accessibility table,SELECT DISTINCT concern FROM accessibility WHERE disability = 'people with visual impairments';
identify top 3 country highest number cybersecurity policy violation,"SELECT country, violation_count FROM (SELECT country, violation_count, ROW_NUMBER() OVER (ORDER BY violation_count DESC) as row_num FROM policy_violations) AS ranked_violations WHERE row_num <= 3;"
many female candidate interviewed marketing department last quarter,"SELECT COUNT(*) FROM Candidates WHERE Department = 'Marketing' AND Gender = 'Female' AND InterviewDate >= DATE_SUB(CURDATE(), INTERVAL 3 MONTH);"
whats total number event held pacific region 20 volunteer 2019,SELECT COUNT(*) FROM events WHERE region = 'Pacific' AND num_volunteers > 20 AND YEAR(event_date) = 2019;
distribution security incident category department last month excluding false positive,"SELECT department, incident_category, COUNT(*) as incident_count FROM security_incidents WHERE incident_date >= DATEADD(month, -1, GETDATE()) AND is_false_positive = FALSE GROUP BY department, incident_category;"
list marine protected area mediterranean,SELECT name FROM marine_protected_areas WHERE location = 'Mediterranean Sea';
list policy total claim amount policyholder texas grouped policy type coverage level,"SELECT policy_type, coverage_level, SUM(claim_amount) FROM claims JOIN policyholders ON claims.policyholder_id = policyholders.id JOIN policies ON policyholders.policy_type = policies.policy_type WHERE policyholders.state = 'Texas' GROUP BY policy_type, coverage_level;"
retrieve policy number policyholder name policyholder car make honda hyundai live california,"SELECT policy_number, policyholder_name FROM policyholders WHERE (car_make = 'Honda' OR car_make = 'Hyundai') AND policyholder_state = 'California';"
total number marine specie arctic region,SELECT COUNT(*) FROM marine_life WHERE region = 'Arctic';
average salary female employee hr department,SELECT AVG(Salary) FROM Employees WHERE Gender = 'Female' AND Department = 'HR';
virtual tourism revenue generated spain italy last 3 month,"SELECT country, SUM(revenue) FROM virtual_tourism WHERE date >= '2022-01-01' AND date <= '2022-04-01' AND country IN ('Spain', 'Italy') GROUP BY country;"
percentage security incident caused insider last year,"SELECT PERCENTAGE(SUM(CASE WHEN incident_source = 'Internal' THEN 1 ELSE 0 END) OVER (), SUM(CASE WHEN incident_source IS NOT NULL THEN 1 ELSE 0 END) OVER ()) as insider_percentage FROM incidents WHERE incident_date >= DATEADD(year, -1, CURRENT_TIMESTAMP);"
many successful satellite deployment occurred africa 2010,"SELECT COUNT(*) FROM SatelliteDeployments WHERE country IN ('Nigeria', 'Egypt', 'South Africa', 'Algeria') AND success = true AND year < 2010;"
local economic impact tourism new delhi 2020,SELECT local_economic_impact FROM tourism_impact WHERE city = 'New Delhi' AND year = 2020;
many disaster relief project conducted nonprofit last two year,"SELECT n.name, COUNT(p.id) as num_projects FROM non_profit n INNER JOIN projects p ON n.id = p.non_profit_id WHERE p.project_type = 'Disaster Relief' AND p.project_date >= DATE_SUB(CURRENT_DATE, INTERVAL 2 YEAR) GROUP BY n.id;"
many successful satellite deployment occurred india 2015,SELECT COUNT(*) FROM SatelliteDeployments WHERE country = 'India' AND success = true AND year < 2015;
list community development initiative indonesia completed budget,"SELECT name, budget FROM initiatives WHERE country = 'Indonesia' AND status = 'completed';"
average depth philippine trench,SELECT AVG(depth) FROM ocean_floors WHERE point = 'Philippine Trench';
combined investment community development initiative brazil 2010 2015,"SELECT SUM(budget) FROM community_dev_brazil WHERE year BETWEEN 2010 AND 2015 AND initiative IN ('Education', 'Healthcare');"
vulnerability found last quarter cv score 7,"SELECT vulnerability_id, discovered_date, cvss_score FROM vulnerabilities WHERE discovered_date >= DATEADD(quarter, -1, GETDATE()) AND cvss_score > 7;"
many security incident mitigated team last month,"SELECT mitigation_team, COUNT(*) AS incident_count FROM security_incidents WHERE incident_date >= DATE_SUB(NOW(), INTERVAL 1 MONTH) GROUP BY mitigation_team;"
total cost agricultural innovation project rwanda 2020 2021,"SELECT SUM(cost) FROM agricultural_innovation_rwanda WHERE country = 'Rwanda' AND year IN (2020, 2021);"
list museum oceania respective website,"SELECT MuseumName, Website FROM Museums WHERE Country = 'Oceania'"
total revenue generated hotel luxury category ota booking,SELECT SUM(otas.revenue) FROM otas INNER JOIN hotels ON otas.hotel_id = hotels.hotel_id WHERE hotels.category = 'Luxury';
many flu vaccination administered region canada q1 2021,"SELECT region, COUNT(*) as num_vaccinations FROM flu_vaccinations WHERE vaccine_date >= '2021-01-01' AND vaccine_date < '2021-04-01' GROUP BY region;"
show spacecraft involved research project yet started respective principal investigator,"SELECT s.name AS spacecraft_name, r.name AS research_project, a.name AS principal_investigator FROM Spacecraft s INNER JOIN Research_Projects r ON s.id = r.id INNER JOIN Astronauts a ON r.principal_investigator_id = a.id WHERE r.start_date > CURDATE();"
find average daily revenue ecofriendly hotel germany portugal average daily visitor count museum two country,SELECT AVG(daily_revenue) FROM hotel_revenue WHERE country = 'Germany' UNION ALL SELECT AVG(daily_visitors) FROM museum_visitors WHERE country = 'Germany' UNION ALL SELECT AVG(daily_revenue) FROM hotel_revenue WHERE country = 'Portugal' UNION ALL SELECT AVG(daily_visitors) FROM museum_visitors WHERE country = 'Portugal';
maximum duration deep space mission,SELECT MAX(duration) FROM MissionData WHERE type = 'Deep Space';
find average annual budget ai research usa uk japan year 20182020,SELECT AVG(budget) FROM (SELECT budget FROM ai_budget_usa WHERE year BETWEEN 2018 AND 2020 UNION ALL SELECT budget FROM ai_budget_uk WHERE year BETWEEN 2018 AND 2020 UNION ALL SELECT budget FROM ai_budget_japan WHERE year BETWEEN 2018 AND 2020) AS combined;
name organization received grant education initiative u,SELECT organizations.name FROM organizations JOIN grants ON organizations.id = grants.organization_id WHERE grants.initiative_type = 'Education' AND organizations.country = 'USA';
distribution tourist age group virtual tour canada,"SELECT age_group, COUNT(*) FROM (SELECT FLOOR(age/10)*10 AS age_group FROM tourist_demographics WHERE country = 'Canada') AS subquery GROUP BY age_group;"
identify country maritime safety inspection inspection last 6 month,"SELECT country FROM inspections WHERE inspection_date < DATE_SUB(CURRENT_DATE, INTERVAL 6 MONTH) GROUP BY country HAVING COUNT(*) = 0;"
average resolution time security incident ranked top 10 common incident type last 30 day,"SELECT incident_type, AVG(resolution_time) as avg_resolution_time, RANK() OVER (ORDER BY AVG(resolution_time) DESC) as rank FROM security_incidents WHERE incident_date >= DATE(NOW()) - INTERVAL '30 days' GROUP BY incident_type HAVING rank <= 10;"
name threat level top 5 threat source last week,"SELECT source, threat_level FROM (SELECT source, threat_level, ROW_NUMBER() OVER (ORDER BY threat_level DESC) AS row_num FROM threats WHERE date >= DATE(NOW()) - INTERVAL 7 DAY) AS subquery WHERE row_num <= 5;"
average revenue generated online travel agency hotel u adopted virtual concierge service,SELECT AVG(online_travel_agencies.revenue) FROM hotels INNER JOIN online_travel_agencies ON hotels.hotel_id = online_travel_agencies.hotel_id WHERE hotels.country = 'USA' AND hotels.virtual_concierge = true;
total budget digital divide initiative america,SELECT SUM(budget) FROM budget_initiatives WHERE initiative = 'digital divide' AND region = 'Americas';
list hotel total revenue virtual tour engagement africa,"SELECT h.name, SUM(vtr.revenue) AS total_revenue FROM hotels h JOIN virtual_tour_revenue vtr ON h.id = vtr.hotel_id WHERE vtr.region = 'Africa' GROUP BY h.name;"
distribution healthcare facility type rating facility serving 5000 patient,"SELECT facility_type, rating, COUNT(*) FROM public.healthcare_access WHERE patients_served > 5000 GROUP BY facility_type, rating;"
average depth marine protected area caribbean,SELECT AVG(avg_depth) FROM marine_protected_areas WHERE region = 'Caribbean';
many spacecraft manufactured spacetech inc,SELECT COUNT(*) FROM Spacecrafts WHERE Manufacturer = 'SpaceTech Inc.';
find community development initiative largest loan amount antarctica,"SELECT ProjectName, AmountOfLoans FROM CommunityDevelopment WHERE Location = 'Antarctica' AND AmountOfLoans = (SELECT MAX(AmountOfLoans) FROM CommunityDevelopment WHERE Location = 'Antarctica');"
show number time retail sector targeted phishing attack,SELECT COUNT(*) FROM incidents WHERE sector = 'Retail' AND type = 'Phishing';
total amount donated individual donor usa last 3 year,"SELECT SUM(donation_amount) FROM donors WHERE country = 'USA' AND donation_date >= DATE_SUB(CURRENT_DATE, INTERVAL 3 YEAR);"
average age patient diagnosed hepatitis b hepatitis c state,"SELECT State, AVG(Age) AS AverageAge FROM Patients WHERE Disease IN ('Hepatitis B', 'Hepatitis C') GROUP BY State;"
average age aircraft manufactured boeing,SELECT AVG(Aircraft.Age) FROM Aircraft JOIN Manufacturers ON Aircraft.ManufacturerId = Manufacturers.Id WHERE Manufacturers.Name = 'Boeing';
list name hotel u sustainability rating 35,SELECT hotel_name FROM Hotel_Sustainability_Ratings WHERE country = 'US' AND sustainability_rating < 3.5;
specie observed depth greater 2000 meter pacific ocean,SELECT species FROM pacific_deep_species WHERE depth_m > 2000;
identify top 3 team highest number win 2020 basketball season,"SELECT team_name, wins, RANK() OVER (ORDER BY wins DESC) as rank FROM basketball_season WHERE rank <= 3;"
list pollution control initiative north atlantic corresponding funding amount,"SELECT initiative, funding FROM pollution_control_initiatives WHERE region = 'North Atlantic';"
top 3 external threat actor number successful attack last year,"SELECT actor_id, COUNT(*) as successful_attacks FROM attack_results WHERE success = true AND timestamp >= DATE_SUB(NOW(), INTERVAL 1 YEAR) GROUP BY actor_id ORDER BY successful_attacks DESC LIMIT 3;"
list ethical ai research paper published 2021 author underrepresented community north america,"SELECT paper_id, author_region, publish_date FROM ai_research WHERE author_region = 'North America' AND publish_date >= '2021-01-01' AND ethical = TRUE AND author_region IN (SELECT community FROM underrepresented_communities);"
many community development initiative completed appalachian region 2021,SELECT COUNT(*) FROM community_development WHERE region = 'Appalachian' AND completion_year = 2021;
